OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,Sales,Cost,Profit,OrderPriority
O00001,2024-03-17,C0183,P027,5,103.84,0.1,467.28,311.52,155.76,High
O00002,2024-08-01,C0119,P027,4,103.84,0.0,415.36,249.22,166.14,Medium
O00003,2023-07-25,C0177,P020,2,149.16,0.0,298.32,178.99,119.33,High
O00004,2023-08-24,C0096,P029,3,298.25,0.1,805.28,536.85,268.43,High
O00005,2024-05-02,C0021,P019,5,218.81,0.1,984.64,656.43,328.21,High
O00006,2024-06-27,C0153,P027,3,103.84,0.0,311.52,186.91,124.61,Medium
O00007,2024-05-26,C0056,P037,5,155.78,0.0,778.9,467.34,311.56,Critical
O00008,2023-05-12,C0058,P035,4,482.99,0.0,1931.96,1159.18,772.78,Medium
O00009,2024-01-14,C0163,P042,3,250.11,0.05,712.81,450.2,262.61,Low
O00010,2024-08-05,C0148,P007,1,33.75,0.0,33.75,20.25,13.5,Medium
O00011,2023-10-20,C0029,P048,2,262.43,0.15,446.13,314.92,131.21,Low
O00012,2024-04-26,C0144,P006,1,82.22,0.0,82.22,49.33,32.89,High
O00013,2024-02-15,C0050,P023,1,149.61,0.1,134.65,89.77,44.88,High
O00014,2024-12-06,C0148,P022,4,74.05,0.1,266.58,177.72,88.86,Low
O00015,2024-02-22,C0155,P021,1,307.87,0.0,307.87,184.72,123.15,Low
O00016,2024-03-06,C0199,P045,1,133.1,0.1,119.79,79.86,39.93,Critical
O00017,2023-04-22,C0127,P008,1,433.76,0.0,433.76,260.26,173.5,High
O00018,2024-10-15,C0082,P045,2,133.1,0.0,266.2,159.72,106.48,Critical
O00019,2023-07-14,C0041,P026,7,393.66,0.0,2755.62,1653.37,1102.25,Medium
O00020,2023-10-11,C0192,P006,2,82.22,0.05,156.22,98.66,57.56,Medium
O00021,2023-09-14,C0185,P004,4,301.34,0.0,1205.36,723.22,482.14,High
O00022,2024-02-13,C0190,P041,2,65.41,0.0,130.82,78.49,52.33,Low
O00023,2024-12-24,C0048,P027,3,103.84,0.15,264.79,186.91,77.88,Medium
O00024,2023-12-04,C0111,P022,4,74.05,0.05,281.39,177.72,103.67,High
O00025,2023-03-14,C0059,P011,2,15.19,0.0,30.38,18.23,12.15,Critical
O00026,2024-05-28,C0144,P043,5,22.02,0.0,110.1,66.06,44.04,Critical
O00027,2024-04-21,C0186,P030,4,27.99,0.05,106.36,67.18,39.18,Medium
O00028,2024-06-06,C0091,P017,3,155.6,0.0,466.8,280.08,186.72,Medium
O00029,2024-02-29,C0124,P017,4,155.6,0.0,622.4,373.44,248.96,High
